"Company","Ticker","Market value as of 31 December, 2024","Number of shares","% of total portfolio","url"
"APPLE INC    (COM)","AAPL","75,126,000,000","300,000,000","28.12%","http://finance.yahoo.com/q?s=AAPL"
"AMERICAN EXPRESS CO    (COM)","AXP","44,996,540,000","151,610,700","16.84%","http://finance.yahoo.com/q?s=AXP"
"BANK OF AMERICA CORP    (COM)","BAC","29,896,267,000","680,233,587","11.19%","http://finance.yahoo.com/q?s=BAC"
"COCA COLA CO    (COM)","KO","24,904,000,000","400,000,000","9.32%","http://finance.yahoo.com/q?s=KO"
"CHEVRON CORP    (COM)","CVX","17,179,549,000","118,610,534","6.43%","http://finance.yahoo.com/q?s=CVX"
"OCCIDENTAL PETROLEUM    (COM)","OXY","$13,053,055,000","264,178,414","4.89%","http://finance.yahoo.com/q?s=OXY"
"MOODYS CORP    (COM)","MCO","11,677,933,000","24,669,778","4.37%","http://finance.yahoo.com/q?s=MCO"
"KRAFT HEINZ CO    (COM)","KHC","10,000,245,000","325,634,818","3.74%","http://finance.yahoo.com/q?s=KHC"
"CHUBB LIMITED    (COM)","CB","7,469,435,000","27,033,784","2.80%","http://finance.yahoo.com/q?s=CB"
"DAVITA HEALTHCARE PARTNERS    (COM)","DVA","5,398,092,000","36,095,570","2.02%","http://finance.yahoo.com/q?s=DVA"
"KROGER CO.    (COM)","KR","3,057,500,000","50,000,000","1.14%","http://finance.yahoo.com/q?s=KR"
"VERISIGN INC    (COM)","VRSN","2,746,661,000","13,271,457","1.03%","http://finance.yahoo.com/q?s=VRSN"
"SIRIUS XM HOLDINGS INC    (CL A)","SIRI","2,678,283,000","117,468,573","1.00%","http://finance.yahoo.com/q?s=SIRI"
"VISA INC    (COM CL A)","V","2,622,329,000","8,297,460","0.98%","http://finance.yahoo.com/q?s=V"
"AMAZON COM INC    (COM)","AMZN","2,193,900,000","10,000,000","0.82%","http://finance.yahoo.com/q?s=AMZN"
"MASTERCARD INC    (CL A)","MA","2,099,249,000","3,986,648","0.79%","http://finance.yahoo.com/q?s=MA"
"AON PLC    (COM)","AON","1,472,556,000","4,100,000","0.55%","http://finance.yahoo.com/q?s=AON"
"CAPITAL ONE FINANCIAL    (COM)","COF","1,328,484,000","7,450,000","0.50%","http://finance.yahoo.com/q?s=COF"
"CONSTELLATION BRANDS","STZ","1,242,976,000","5,624,324","0.47%","http://finance.yahoo.com/q?s=STZ"
"ALLY FINANCIAL INC.    (COM)","ALLY","1,044,289,000","29,000,000","0.39%","http://finance.yahoo.com/q?s=ALLY"
"CITIGROUP INC.    (COM)","C","1,030,475,000","14,639,502","0.39%","http://finance.yahoo.com/q?s=C"
"DOMINOS PIZZA INC    (COM)","DPZ","999,868,000","2,382,000","0.37%","http://finance.yahoo.com/q?s=DPZ"
"T-MOBILE US INC    (COM)","TMUS","960,176,000","4,350,000","0.36%","http://finance.yahoo.com/q?s=TMUS"
"LIBERTY MEDIA CORP.    (SERIES C LIVE)","LLYVK","743,056,000","10,917,661","0.28%","http://finance.yahoo.com/q?s=LLYVK"
"CHARTER COMMUNICATIONS INC N    (CL A)","CHTR","682,715,000","1,991,759","0.26%","http://finance.yahoo.com/q?s=CHTR"
"LIBERTY MEDIA CORP FORMULA ONE    (COM SER C)","FWONK","630,213,000","6,801,360","0.24%","http://finance.yahoo.com/q?s=FWONK"
"LOUISIANA-PACIFIC CORP    (COM)","LPX","586,589,000","5,664,793","0.22%","http://finance.yahoo.com/q?s=LPX"
"NU HOLDINGS LTD","NU","416,267,000","40,180,168","0.16%","http://finance.yahoo.com/q?s=NU"
"LIBERTY MEDIA CORP.    (SERIES A LIVE)","LLYVA","331,908,000","4,986,588","0.12%","http://finance.yahoo.com/q?s=LLYVA"
"POOL CORP     (COM)","POOL","204,117,000","598,689","0.08%","http://finance.yahoo.com/q?s=POOL"
"HEICO CORP.    (COM CL A)","HEI.A","195,326,000","1,049,687","0.07%","http://finance.yahoo.com/q?s=HEI.A"
"NVR INC","NVR","90,884,000","11,112","0.03%","http://finance.yahoo.com/q?s=NVR"
"DIAGEO ADR    (COM)","DEO","28,954,000","227,750","0.01%","http://finance.yahoo.com/q?s=DEO"
"JEFFERIES FINANCIAL GROUP INC    (COM CL C)","JEF","33,991,000","433,558","0.01%","http://finance.yahoo.com/q?s=JEF"
"LENNAR CORP    (CL B)","LEN.B","20,162,000","152,572","0.01%","http://finance.yahoo.com/q?s=LEN.B"
"LIBERTY LATIN AMERICA LTD    (COM CL A)","LILA","16,732,000","2,630,792","0.01%","http://finance.yahoo.com/q?s=LILA"
"ATLANTA BRAVES HOLDINGS INC.    (SERIES C)","BATRK","8,556,000","223,645","0.00%","http://finance.yahoo.com/q?s=BATRK"
"LIBERTY LATIN AMERICA LTD    (COM CL C)","LILAK","8,141,000","1,284,020","0.00%","http://finance.yahoo.com/q?s=LILAK"